,Rank,Site Name,Nomination Year,Country,Rating,State,Latitude,Longitude,,
400,590,Dong Phayayen,2005,Thailand,3.04,,,,,
401,591,Thungyai-Huai Kha Khaeng,1991,Thailand,2.47,,,,,
402,592,Borobudur,1991,Indonesia,4.48,,,,,
403,593,Sangiran Early Man Site,1996,Indonesia,1.93,,,,,
404,595,Pythagoreion and Heraion of Samos,1992,Greece,2.52,,,,,
405,596,Villages with Fortified Churches,1993,Romania,3.55,,,,,
406,597,Monastery of Horezu,1993,Romania,3.17,,,,,
407,598,Churches of Moldavia,1993,Romania,4.06,,,,,
408,599,Island of Mozambique,1991,Mozambique,3.71,,,,,
409,600,"Paris, Banks of the Seine",1991,France,4.25,,,,,
410,601,Reims,1991,France,3.49,,,,,
411,602,Bukhara,1993,Uzbekistan,4.2,,,,,
412,603,Samarkand,2001,Uzbekistan,4.58,,,,,
413,604,Novgorod,1992,Russia,3.22,,,,,
414,606,Serra da Capivara,1991,Brazil,3.54,,,,,
415,608,Ujung Kulon National Park,1991,Indonesia,3.85,,,,,
416,609,Komodo National Park,1991,Indonesia,4.07,,,,,
417,611,Zabid,1993,Yemen,2.67,,,,,
418,613,Ruins of León Viejo,2000,Nicaragua,2.5,,,,,
419,614,Safranbolu,1994,Turkiye,3.25,,,,,
420,616,Prague,1992,Czechia,4.33,,,,,
421,617,Cesky Krumlov,1992,Czechia,4.01,,,,,
422,618,Banska Stiavnica,1993,Slovakia,3.03,,,,,
423,620,Spissky Hrad and Levoca,1993,Slovakia,3.31,,,,,
424,621,Telc,1992,Czechia,3.21,,,,,
425,622,Vlkolinec,1993,Slovakia,2.85,,,,,
426,623,Rammelsberg and Goslar,1992,Germany,3.24,,,,,
427,624,Bamberg,1993,Germany,3.5,,,,,
428,625,Mir Castle,2000,Belarus,2.34,,,,,
429,629,Macquarie Island,1997,Australia,4.58,,,,,
430,630,Fraser Island,1992,Australia,4.22,,,,,
431,631,El Tajin,1992,Mexico,3.77,,,,,
432,632,Solovetsky Islands,1992,Russia,3.73,,,,,
433,633,White Monuments of Vladimir and Suzdal,1992,Russia,3.58,,,,,
434,634,"Church of the Ascension, Kolomenskoye",1994,Russia,2.44,,,,,
435,635,Bourges Cathedral,1992,France,3.6,,,,,
436,637,Jiuzhaigou Valley,1992,China,4.43,,,,,
437,638,Huanglong,1992,China,4.19,,,,,
438,640,Wulingyuan,1992,China,4.26,,,,,
439,642,Prambanan,1991,Indonesia,3.94,,,,,
440,648,Jesuit Missions of Trinidad and Jesus,1993,Paraguay,3.18,,,,,
441,652,Puerto-Princesa Subterranean River,1999,Philippines,3.42,,,,,
442,653,Tubbataha Reefs,1993,Philippines,3.14,,,,,
443,657,Trinity Sergius Lavra,1993,Russia,3.28,,,,,
444,658,Coro and its Port,1993,Venezuela,2.83,,,,,
445,659,Brú na Bóinne,1993,Ireland,3.76,,,,,
446,660,Horyu-ji Area,1993,Japan,3.39,,,,,
